title,price_from,wasPrice,location,sleeps,bedrooms,pets,customer_ratings,hot_tub,provider,date_scraped,url
Cottage Anton,741,was £924,"Ravenscar, North York Moors & Coast",2,1,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Fylingthorpe/Cottage-Anton-950900.html?_hsearch=220406624df59f55653&_price=741&_display=1#duration=7&start=2022-08-19&changeover=5
Alice's Cottage,852,was £1050,"Hawkshead, Cumbria & The Lake District",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Colthouse/Alices-Cottage-955317.html?_hsearch=220406624df59f59d6c&_price=852&_display=1#duration=7&start=2022-08-18&changeover=4
15 Dart Marina,2724,was £3581,"Dartmouth, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Britannia-RN-College/15-Dart-Marina-1084646.html?_hsearch=220406624df59f5f6ca&_price=2724&_display=1#duration=7&start=2022-08-19&changeover=5
Polly's Bower,1118,was £1658,"Landrake, Cornwall",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Tideford/Pollys-Bower-969450.html?_hsearch=220406624df59f62b15&_price=1118&_display=1#duration=7&start=2022-08-19&changeover=5
The Dovecote,1489,was £1816,"Wistanstow near Craven Arms, Shropshire",2,1,Yes,4.8,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Shropshire-Wistanstow/The-Dovecote-982290.html?_hsearch=220406624df59f675cd&_price=1489&_display=1#duration=7&start=2022-08-19&changeover=5
Cragfell Cottage,689,was £1019,"Cartmel Fell, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bryan-Beck/Cragfell-Cottage-1041295.html?_hsearch=220406624df59f6d4ec&_price=689&_display=1#duration=7&start=2022-08-19&changeover=5
2 Valley View,1078,was £1583,"Lanreath, Cornwall",2,1,Yes,4.8,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Bocaddon/2-Valley-View-1037028.html?_hsearch=220406624df59f72bb6&_price=1078&_display=1#duration=7&start=2022-08-20&changeover=6
Pheasant Cottage,740,was £1096,"Priston Village, BATH, Somerset",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-DorsetSomerset-Priston/Pheasant-Cottage-1003806.html?_hsearch=220406624df59f79597&_price=740&_display=1#duration=7&start=2022-08-19&changeover=5
The Croft,488,was £678,"Hollington, Derbyshire, Peak District & Derbyshire Dales",2,1,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Hollington/The-Croft-964759.html?_hsearch=220406624df59f7d2d2&_price=488&_display=1#duration=7&start=2022-08-19&changeover=5
Foxes Den,768,was £1052,"Winston near Staindrop, Yorkshire Dales - North",2,1,Yes,4.9,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Alwent-Hall/Foxes-Den-1082438.html?_hsearch=220406624df59f81937&_price=768&_display=1#duration=7&start=2022-08-19&changeover=5
Mews House,816,was £1051,"Camborne, Cornwall",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Rosewarne/Mews-House-1094132.html?_hsearch=220406624df59f86d69&_price=816&_display=1#duration=7&start=2022-08-20&changeover=6
Wansbeck View 2,1309,was £1472,"Ashington, Northumberland",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-North-Seaton/Wansbeck-View-2-1096067.html?_hsearch=220406624df59f8e62c&_price=1309&_display=1#duration=7&start=2022-08-20&changeover=6
The Hayloft,570,was £841,"Holme, Yorkshire, Peak District & Derbyshire Dales",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Holme/The-Hayloft-1013614.html?_hsearch=220406624df59f9321a&_price=570&_display=1#duration=7&start=2022-08-19&changeover=5
1 Old Mill Court,1325,,"Brixham, Devon",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Brixham/1-Old-Mill-Court-1089103.html?_hsearch=220406624df59f97351&_price=1325&_display=1#duration=7&start=2022-08-20&changeover=6
Leven Reach,653,was £965,"Backbarrow near Newby Bridge, Cumbria & The Lake District",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Backbarrow/Leven-Reach-1051202.html?_hsearch=220406624df59f9cdd7&_price=653&_display=1#duration=7&start=2022-08-19&changeover=5
Darling Cottage 2-bed,1469,,"Acaster Malbis, Vale of York & Yorkshire Wolds",3,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Acaster-Malbis/Darling-Cottage-2-bed-997420.html?_hsearch=220406624df59fa226c&_price=1469&_display=1#duration=7&start=2022-08-20&changeover=6
Tom's House,839,was £1229,"Berrynarbor near Combe Martin, Devon",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Goosewell/Toms-House-921199.html?_hsearch=220406624df59fa65a0&_price=839&_display=1#duration=7&start=2022-08-19&changeover=5
Holly Cottage,903,was £1156,"Stratford-Upon-Avon, Warwickshire",4,2,No,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Northamptonshire-Clifford-Chambers/Holly-Cottage-1095211.html?_hsearch=220406624df59fab3ff&_price=903&_display=1#duration=7&start=2022-08-19&changeover=5
Minton Lane Cottage,492,was £615,"Little Stretton, Shropshire",2,1,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Shropshire-Minton/Minton-Lane-Cottage-933744.html?_hsearch=220406624df59fb0c4f&_price=492&_display=1#duration=7&start=2022-08-20&changeover=6
The Snug,882,was £1181,"Cartmel, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Cartmel/The-Snug-953066.html?_hsearch=220406624df5a118ff0&_price=882&_display=1#duration=7&start=2022-08-19&changeover=5
2 Belgravia Mansions,1765,was £2274,"Weston-Super-Mare, Somerset",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Somerset-Birnbeck-Island/2-Belgravia-Mansions-1083575.html?_hsearch=220406624df5a11f4c8&_price=1765&_display=1#duration=7&start=2022-08-19&changeover=5
Diddly Squat Lodge,1554,was £1863,"Barrow, Lancashire, Cumbria & The Lake District",4,2,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Park-Fm/Diddly-Squat-Lodge-1090129.html?_hsearch=220406624df5a122ae7&_price=1554&_display=1#duration=7&start=2022-08-20&changeover=6
The Apple Shed,704,was £812,"Wisbech, Cambridgeshire",4,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cambridgeshire-Wisbech/The-Apple-Shed-1096183.html?_hsearch=220406624df5a12623b&_price=704&_display=1#duration=7&start=2022-08-19&changeover=5
The Butler’s Quarters,534,was £742,"Bourton near Much Wenlock, Shropshire",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-North-Wales-Snowdonia-Bourton/The-Butlers-Quarters-1072828.html?_hsearch=220406624df5a12a147&_price=534&_display=1#duration=7&start=2022-08-20&changeover=6
The Paddock,848,,"York, Vale of York & Yorkshire Wolds",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Wheldrake/The-Paddock-931715.html?_hsearch=220406624df5a12d9e4&_price=848&_display=1#duration=7&start=2022-08-22&changeover=1
Frogwell Chapel,955,was £1403,"Frogwell near Callington, Cornwall",2,1,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Frogwell/Frogwell-Chapel-1063115.html?_hsearch=220406624df5a133aea&_price=955&_display=1#duration=7&start=2022-08-20&changeover=6
Pilchard Cottage,790,was £1196,"Brixham, Devon",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Brixham/Pilchard-Cottage-1065494.html?_hsearch=220406624df5a138bae&_price=790&_display=1#duration=7&start=2022-08-19&changeover=5
Two Acres,1408,,"Kendal, Cumbria & The Lake District",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Kendal/Two-Acres-1103003.html?_hsearch=220406624df5a13eeaa&_price=1408&_display=1#duration=7&start=2022-08-19&changeover=5
The Rockpools (No4),1623,,"Watchet, Somerset",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Egrove-Fm/The-Rockpools-No4-1100904.html?_hsearch=220406624df5a142699&_price=1623&_display=1#duration=7&start=2022-08-22&changeover=1
The Wagtails (No3),1613,,"Doniford near Watchet, Somerset",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Egrove-Fm/The-Wagtails-No3-1100905.html?_hsearch=220406624df5a14591b&_price=1613&_display=1#duration=7&start=2022-08-22&changeover=1
Whinney Moor,1073,,"Denwick near Alnwick, Northumberland",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-Broxfield/Whinney-Moor-1102687.html?_hsearch=220406624df5a149f9a&_price=1073&_display=1#duration=7&start=2022-08-19&changeover=5
Badgers Sett,768,was £1052,"Winston near Staindrop, Yorkshire Dales - North",2,1,Yes,5.0,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Alwent-Hall/Badgers-Sett-1027477.html?_hsearch=220406624df5a14dc12&_price=768&_display=1#duration=7&start=2022-08-19&changeover=5
Pines Hideaway,622,was £861,"Eastleigh near Bideford, Devon",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Eastleigh/Pines-Hideaway-1057310.html?_hsearch=220406624df5a151ad3&_price=622&_display=1#duration=7&start=2022-08-20&changeover=6
Holly Lodge,701,was £972,"Lanivet near Bodmin, Cornwall",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Tregullon/Holly-Lodge-974706.html?_hsearch=220406624df5a155cfd&_price=701&_display=1#duration=7&start=2022-08-20&changeover=6
Hideaway Cottage,522,was £677,"Ludlow, Shropshire",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Herefordshire-Holy-Well/Hideaway-Cottage-1088730.html?_hsearch=220406624df5a15998b&_price=522&_display=1#duration=7&start=2022-08-19&changeover=5
Swallows Nest,665,was £983,"Scalby, North York Moors & Coast",2,1,Yes,4.9,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Northfield-Fm/Swallows-Nest-992648.html?_hsearch=220406624df5a15d329&_price=665&_display=1#duration=7&start=2022-08-19&changeover=5
Langham House Cottage,760,was £1111,"Liftondown near Lifton, Devon",2,1,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Carley/Langham-House-Cottage-1039944.html?_hsearch=220406624df5a165202&_price=760&_display=1#duration=7&start=2022-08-19&changeover=5
Barn Owl,516,was £775,"Kirk Langley near Brailsford, Peak District & Derbyshire Dales",2,1,No,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Hilltop-Fm/Barn-Owl-1012615.html?_hsearch=220406624df5a16c227&_price=516&_display=1#duration=7&start=2022-08-19&changeover=5
Chadbury House Annexe,531,was £738,"Chadbury near Evesham, Worcestershire",2,1,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Worcestershire-Chadbury/Chadbury-House-Annexe-1019370.html?_hsearch=220406624df5a1768df&_price=531&_display=1#duration=7&start=2022-08-19&changeover=5
Beacon Heights,688,was £1018,"Flamborough, Vale of York & Yorkshire Wolds",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Flamborough/Beacon-Heights-962760.html?_hsearch=220406624df5a2d6874&_price=688&_display=1#duration=7&start=2022-08-19&changeover=5
Naze Retreat,805,was £1029,"Walton-On-The-Naze, Essex",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Essex-Walton-Hall/Naze-Retreat-1076356.html?_hsearch=220406624df5a2e210f&_price=805&_display=1#duration=7&start=2022-08-20&changeover=6
"The Stables, Crayke Lodge",498,was £738,"Easingwold, Vale of York & Yorkshire Wolds",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Crayke/The-Stables-Crayke-Lodge-917511.html?_hsearch=220406624df5a2e8632&_price=498&_display=1#duration=7&start=2022-08-19&changeover=5
Shepherd's Lodge,780,was £1068,"Arkengarthdale near Reeth, Yorkshire Dales - North",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Low-Faggergill/Shepherds-Lodge-1075092.html?_hsearch=220406624df5a2ef1db&_price=780&_display=1#duration=7&start=2022-08-19&changeover=5
The Stilehouse Apartment,481,was £668,"Menith Wood, Worcestershire",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Herefordshire-Menithwood/The-Stilehouse-Apartment-20793.html?_hsearch=220406624df5a30360a&_price=481&_display=1#duration=7&start=2022-08-20&changeover=6
The Duck House,839,was £1229,"Thompson near Watton, Norfolk",2,1,No,5.0,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Norfolk-Thompson-Common/The-Duck-House-1001574.html?_hsearch=220406624df5a30bd00&_price=839&_display=1#duration=7&start=2022-08-19&changeover=5
Mixit Cottage,831,was £1140,"Kingsbridge, Devon",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Coombe-Fm/Mixit-Cottage-976268.html?_hsearch=220406624df5a30fead&_price=831&_display=1#duration=7&start=2022-08-19&changeover=5
7 Lilac Terrace,656,was £909,"Danby, North York Moors & Coast",3,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Bramble-Garr/7-Lilac-Terrace-1044845.html?_hsearch=220406624df5a3138f5&_price=656&_display=1#duration=7&start=2022-08-19&changeover=5
The Dairy,528,was £793,"Haworth, Yorkshire Dales - South",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Haworth/The-Dairy-30156.html?_hsearch=220406624df5a3180cf&_price=528&_display=1#duration=7&start=2022-08-19&changeover=5
Respryn,735,was £1019,"Mevagissey, Cornwall",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Mevagissey/Respryn-959219.html?_hsearch=220406624df5a31b929&_price=735&_display=1#duration=7&start=2022-08-20&changeover=6
Peak View,937,was £1424,"Hackney near Matlock, Peak District & Derbyshire Dales",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Two-Dales/Peak-View-1085059.html?_hsearch=220406624df5a320b63&_price=937&_display=1#duration=7&start=2022-08-19&changeover=5
Chalet 12,961,,"Hemsby, Norfolk",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Norfolk-Dowe-Hill/Chalet-12-1084014.html?_hsearch=220406624df5a325455&_price=961&_display=1#duration=7&start=2022-08-22&changeover=1
Brambleside Lodge,850,was £1246,"Buckshead near Truro, Cornwall",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Buckshead/Brambleside-Lodge-1050649.html?_hsearch=220406624df5a32923d&_price=850&_display=1#duration=7&start=2022-08-20&changeover=6
Whitehill House,1070,was £1373,"East End, Oxfordshire",4,2,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Oxfordshire-Ashford-Mill-Fm/Whitehill-House-993365.html?_hsearch=220406624df5a32c196&_price=1070&_display=1#duration=7&start=2022-08-19&changeover=5
6 Town Steps,1152,was £1480,"Aldeburgh, Suffolk",3,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Suffolk-Fort-Green/6-Town-Steps-1094331.html?_hsearch=220406624df5a33169f&_price=1152&_display=1#duration=7&start=2022-08-20&changeover=6
Lilac Cottage,703,was £909,"Marldon, Devon",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Marldon/Lilac-Cottage-1093872.html?_hsearch=220406624df5a3354d2&_price=703&_display=1#duration=7&start=2022-08-20&changeover=6
Ned Cottage 1-bed,704,was £911,"Acaster Malbis, Vale of York & Yorkshire Wolds",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Acaster-Malbis/Ned-Cottage-1-bed-997421.html?_hsearch=220406624df5a338b61&_price=704&_display=1#duration=7&start=2022-08-19&changeover=5
Deer Lodge,874,was £1282,"Langho, Cumbria & The Lake District",2,1,No,4.9,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Brockhall-Village/Deer-Lodge-978888.html?_hsearch=220406624df5a33e269&_price=874&_display=1#duration=7&start=2022-08-19&changeover=5
7 Gretton,490,was £726,"Cardington, Shropshire",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-North-Wales-Snowdonia-Gretton/7-Gretton-956804.html?_hsearch=220406624df5a34190c&_price=490&_display=1#duration=7&start=2022-08-20&changeover=6
Little Willesleigh,781,was £830,"Goodleigh near Barnstaple, Devon",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Goodleigh/Little-Willesleigh-934017.html?_hsearch=220406624df5a347cdb&_price=781&_display=1#duration=7&start=2022-08-20&changeover=6
The Stables,1269,was £1642,"Preston, Dorset",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Overcombe/The-Stables-1078949.html?_hsearch=220406624df5a49e8c8&_price=1269&_display=1#duration=7&start=2022-08-19&changeover=5
Sebright,1049,was £1544,"St. Austell, Cornwall",2,1,Yes,4.8,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Trethurgy/Sebright-1040570.html?_hsearch=220406624df5a4a19ec&_price=1049&_display=1#duration=7&start=2022-08-20&changeover=6
Bellwether,514,,"Helmsley, North York Moors & Coast",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Helmsley/Bellwether-986040.html?_hsearch=220406624df5a4a4630&_price=514&_display=1#duration=7&start=2022-08-19&changeover=5
Castle Cove Cottage,1965,,"Weymouth, Dorset",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Sandsfoot-Castle/Castle-Cove-Cottage-1092544.html?_hsearch=220406624df5a4a70bf&_price=1965&_display=1#duration=7&start=2022-08-19&changeover=5
Weymouth Bay Apartment A,1363,,"Weymouth, Dorset",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Melcombe-Regis/Weymouth-Bay-Apartment-A-1083146.html?_hsearch=220406624df5a4aa1c7&_price=1363&_display=1#duration=7&start=2022-08-20&changeover=6
2 The Manor House,1382,,"Dartmouth, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Lower-Wadstray/2-The-Manor-House-1089407.html?_hsearch=220406624df5a4ad0f9&_price=1382&_display=1#duration=7&start=2022-08-20&changeover=6
Cowper Cottage 2-bed,1469,,"Acaster Malbis, North York Moors & Coast",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Garth-Fm/Cowper-Cottage-2-bed-1098484.html?_hsearch=220406624df5a4afa12&_price=1469&_display=1#duration=7&start=2022-08-22&changeover=1
Bow Fell,731,,"Bowness-On-Windermere, Cumbria & The Lake District",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bowness-On-Windermere/Bow-Fell-1095575.html?_hsearch=220406624df5a4b2269&_price=731&_display=1#duration=7&start=2022-08-20&changeover=6
Leven View,653,was £905,"Backbarrow near Newby Bridge, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Backbarrow/Leven-View-1050394.html?_hsearch=220406624df5a4b670e&_price=653&_display=1#duration=7&start=2022-08-19&changeover=5
Swallows Barn,964,was £1236,"Walton near Chesterfield, Peak District & Derbyshire Dales",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Holymoorside/Swallows-Barn-1087716.html?_hsearch=220406624df5a4ba10d&_price=964&_display=1#duration=7&start=2022-08-19&changeover=5
Elmwood,577,was £851,"Longnor, Peak District & Derbyshire Dales",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Cottage-The/Elmwood-1010456.html?_hsearch=220406624df5a4bf53a&_price=577&_display=1#duration=7&start=2022-08-19&changeover=5
Pippas place,629,was £813,"St Just, Cornwall",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-New-Downs/Pippas-place-1096767.html?_hsearch=220406624df5a4c2314&_price=629&_display=1#duration=7&start=2022-08-20&changeover=6
Little Pippin,816,,"Carlyon Bay near St Austell, Cornwall",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Charlestown/Little-Pippin-986280.html?_hsearch=220406624df5a4c5755&_price=816&_display=1#duration=7&start=2022-08-19&changeover=5
Frankie's Flat,853,,"Flamborough, Yorkshire Dales - North",2,1,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Crofts-The/Frankies-Flat-1083935.html?_hsearch=220406624df5a4c842d&_price=853&_display=1#duration=7&start=2022-08-22&changeover=1
The Crows Nest,1082,was £1491,"Mevagissey, Cornwall",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Penwarne/The-Crows-Nest-993027.html?_hsearch=220406624df5a4cb3d3&_price=1082&_display=1#duration=7&start=2022-08-20&changeover=6
Compass Point,1675,was £2783,"Brixham, Devon",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Brixham/Compass-Point-1090505.html?_hsearch=220406624df5a4cf657&_price=1675&_display=1#duration=7&start=2022-08-19&changeover=5
Little Bargate,690,was £934,"Castleton, Peak District & Derbyshire Dales",2,1,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Hope-Valley/Little-Bargate-993369.html?_hsearch=220406624df5a4d4adf&_price=690&_display=1#duration=7&start=2022-08-19&changeover=5
Hope Cottage,1509,,"Youlgreave, Peak District & Derbyshire Dales",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Youlgrave/Hope-Cottage-1100132.html?_hsearch=220406624df5a4d7396&_price=1509&_display=1#duration=7&start=2022-08-20&changeover=6
Park Cottage,801,was £1098,"Bonsall, Peak District & Derbyshire Dales",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Bonsall/Park-Cottage-1085577.html?_hsearch=220406624df5a4da3b5&_price=801&_display=1#duration=7&start=2022-08-19&changeover=5
The Roost,833,was £1143,"Camborne, Cornwall",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Killivose/The-Roost-1015858.html?_hsearch=220406624df5a4ddab4&_price=833&_display=1#duration=7&start=2022-08-20&changeover=6
Badgers Way,841,was £1154,"Tintagel, Cornwall",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Bossiney/Badgers-Way-1066419.html?_hsearch=220406624df5a605661&_price=841&_display=1#duration=7&start=2022-08-20&changeover=6
6  George Yard,664,was £982,"Burford, Oxfordshire",2,1,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Burford/6-George-Yard-988846.html?_hsearch=220406624df5a609e8c&_price=664&_display=1#duration=7&start=2022-08-19&changeover=5
29 Bondgate,827,was £1057,"Helmsley, North York Moors & Coast",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Helmsley/29-Bondgate-1089307.html?_hsearch=220406624df5a60cbcf&_price=827&_display=1#duration=7&start=2022-08-19&changeover=5
Smithy Cottage,479,was £709,"Bradwell near Castleton, Peak District & Derbyshire Dales",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Bradwell/Smithy-Cottage-941559.html?_hsearch=220406624df5a62236f&_price=479&_display=1#duration=7&start=2022-08-19&changeover=5
Yew Fold,524,was £787,"Kirkby-In-Furness, Cumbria & The Lake District",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Carl-Cross/Yew-Fold-984344.html?_hsearch=220406624df5a62983d&_price=524&_display=1#duration=7&start=2022-08-19&changeover=5
Stonesthrow,706,was £979,"Marston near Barkston, Lincolnshire",4,2,No,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Cliff-Fm/Stonesthrow-1083250.html?_hsearch=220406624df5a62fe01&_price=706&_display=1#duration=7&start=2022-08-19&changeover=5
The Keepers Lodge,764,was £976,"Hartlebury, Worcestershire",2,1,No,5.0,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Shropshire-Hartlebury-Sta/The-Keepers-Lodge-1095970.html?_hsearch=220406624df5a63451a&_price=764&_display=1#duration=7&start=2022-08-19&changeover=5
Alcuin,1101,was £1309,"Hornsea, Vale of York & Yorkshire Wolds",8,4,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Hornsea-Burton/Alcuin-1097363.html?_hsearch=220406624df5a637803&_price=1101&_display=1#duration=7&start=2022-08-19&changeover=5
32 Church Hill,762,was £973,"Ironbridge, Shropshire",3,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-North-Wales-Snowdonia-Ironbridge/32-Church-Hill-1072290.html?_hsearch=220406624df5a63bf59&_price=762&_display=1#duration=7&start=2022-08-19&changeover=5
Otters Holt,768,was £1052,"Winston near Staindrop, Yorkshire Dales - North",2,1,Yes,5.0,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Alwent-Hall/Otters-Holt-1082439.html?_hsearch=220406624df5a63e758&_price=768&_display=1#duration=7&start=2022-08-19&changeover=5
Trinity House Holiday Apartments - Trinity Four,624,was £807,"Millom, Cumbria, Cumbria & The Lake District",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Millom/Trinity-House-Holiday-Apartments-Trinity-Four-1099799.html?_hsearch=220406624df5a643419&_price=624&_display=1#duration=7&start=2022-08-19&changeover=5
